epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.3096483945846558,0.32,1.1015625,0.4,0.40363816099852556
2,1.0407226085662842,0.4,1.1368839740753174,0.47692307692307695,0.019979712000349537
3,1.004550814628601,0.57,1.2249099016189575,0.46153846153846156,0.018084092997014523
4,1.0695409774780273,0.52,1.2362079620361328,0.46153846153846156,0.007765316000586608
5,1.084716796875,0.52,1.1816105842590332,0.46153846153846156,0.0050425779991201125
6,1.0475780963897705,0.52,1.1103215217590332,0.47692307692307695,0.0049271150019194465
7,0.9972460865974426,0.55,1.061598539352417,0.46153846153846156,0.005590552998910425
8,0.9655858874320984,0.57,1.046875,0.46153846153846156,0.005003730999305844
9,0.9550390243530273,0.56,1.0590745210647583,0.4307692307692308,0.004922878000797937
10,0.9594921469688416,0.49,1.083082914352417,0.4307692307692308,0.0053388050000648946
11,0.9668749570846558,0.45,1.104056477546692,0.46153846153846156,0.005602391000138596
12,0.96435546875,0.43,1.1134614944458008,0.4461538461538462,0.005214820001128828
13,0.9477929472923279,0.49,1.1149940490722656,0.46153846153846156,0.005276173000311246
14,0.9264257550239563,0.51,1.1158353090286255,0.4461538461538462,0.005084389998955885
15,0.9098925590515137,0.57,1.1203575134277344,0.4461538461538462,0.004946899000060512
16,0.9028418064117432,0.59,1.1241886615753174,0.46153846153846156,0.005014372000005096
17,0.9018456935882568,0.58,1.1242789030075073,0.47692307692307695,0.005152560002898099
18,0.9009960889816284,0.58,1.1166166067123413,0.47692307692307695,0.00502502800009097
19,0.8962500095367432,0.59,1.1075119972229004,0.47692307692307695,0.005060736999439541
20,0.8879784941673279,0.61,1.0972055196762085,0.46153846153846156,0.005054231998656178
21,0.8776953220367432,0.61,1.091406226158142,0.46153846153846156,0.007441122001182521
22,0.8675000071525574,0.63,1.0917067527770996,0.46153846153846156,0.00532900699909078
23,0.8592480421066284,0.63,1.1000300645828247,0.5076923076923077,0.005246519998763688
24,0.854785144329071,0.62,1.111478328704834,0.47692307692307695,0.005844241997692734
25,0.8521679639816284,0.62,1.1233173608779907,0.47692307692307695,0.005315599002642557
26,0.8490429520606995,0.62,1.1323918104171753,0.5076923076923077,0.005130765999638243
27,0.8432812094688416,0.63,1.136207938194275,0.49230769230769234,0.00495696999860229
28,0.8362597227096558,0.65,1.1370493173599243,0.46153846153846156,0.004949788002704736
29,0.8290038704872131,0.66,1.1356821060180664,0.4307692307692308,0.004901437001535669
30,0.823291003704071,0.62,1.1327223777770996,0.46153846153846156,0.004987791999155888
31,0.81874018907547,0.64,1.1277344226837158,0.46153846153846156,0.0049986159974650946
32,0.8155712485313416,0.65,1.1240234375,0.4461538461538462,0.004828363002161495
33,0.8118603229522705,0.66,1.1193358898162842,0.4307692307692308,0.0049107750019175
34,0.8078124523162842,0.65,1.1175481081008911,0.4307692307692308,0.0049487770011182874
35,0.8030956983566284,0.64,1.1174579858779907,0.4461538461538462,0.004923450000205776
36,0.7975732088088989,0.65,1.1215144395828247,0.46153846153846156,0.004913519002002431
37,0.7927783131599426,0.68,1.128245234489441,0.5076923076923077,0.004936215998895932
38,0.7889355421066284,0.68,1.1358773708343506,0.47692307692307695,0.004865423998126062
39,0.7859130501747131,0.67,1.143088936805725,0.47692307692307695,0.004949552996549755
40,0.7825976610183716,0.66,1.148287296295166,0.47692307692307695,0.004841106001549633
41,0.77880859375,0.66,1.1503756046295166,0.49230769230769234,0.004985064999345923
42,0.7742919921875,0.67,1.1497746706008911,0.4461538461538462,0.005038657000113744
43,0.770434558391571,0.66,1.148121953010559,0.4461538461538462,0.004981369998859009
44,0.7668212652206421,0.66,1.1461988687515259,0.4461538461538462,0.004902589000266744
45,0.7634228467941284,0.67,1.144456148147583,0.4307692307692308,0.005818710997118615
46,0.7602148056030273,0.68,1.1431039571762085,0.4307692307692308,0.00541390299986233
47,0.757250964641571,0.66,1.1458684206008911,0.4307692307692308,0.005139094999321969
48,0.7533349394798279,0.65,1.1480168104171753,0.4461538461538462,0.00492060400210903
49,0.7501122951507568,0.66,1.1527494192123413,0.46153846153846156,0.004992425001546508
50,0.7466747760772705,0.67,1.1592698097229004,0.4461538461538462,0.004900560998066794
