epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.2624746561050415,0.172,0.8865533830324809,0.6696666666666666,0.2523961340011738
2,0.8793906569480896,0.694,0.6142403952280681,0.8946666666666667,0.05090487499910523
3,0.6104394793510437,0.88,0.43089127659797666,0.9353333333333333,0.04723034900234779
4,0.4301064610481262,0.923,0.31274666436513265,0.9593333333333334,0.05781012299848953
5,0.31406790018081665,0.951,0.23598298748334248,0.9703333333333334,0.045729413999652024
6,0.2383875846862793,0.963,0.1842913187344869,0.9776666666666667,0.04789208399961353
7,0.18739643692970276,0.968,0.14831438342730205,0.9796666666666667,0.04906001799827209
8,0.1518440991640091,0.97,0.12251801045735677,0.981,0.04542862600283115
9,0.1262611746788025,0.974,0.10342569764455159,0.9833333333333333,0.04519126100058202
10,0.10725415498018265,0.979,0.08905501365661621,0.9843333333333333,0.04558876900046016
11,0.0928112119436264,0.984,0.07800087014834087,0.986,0.045896357001765864
12,0.08164964616298676,0.985,0.0691966704328855,0.9866666666666667,0.045603848000610014
13,0.07269027829170227,0.985,0.062185975948969525,0.9873333333333333,0.04508826299934299
14,0.06553081423044205,0.986,0.05645458978414535,0.9876666666666667,0.04527699599930202
15,0.05957731977105141,0.987,0.05174002645413081,0.988,0.045473291000234894
16,0.05460316687822342,0.988,0.047774757504463194,0.9886666666666667,0.0455172770016361
17,0.05041837692260742,0.989,0.04442410438259443,0.9896666666666667,0.04704018200209248
18,0.0467488132417202,0.989,0.04147928607463837,0.9896666666666667,0.04586832199856872
19,0.04360313341021538,0.989,0.03895453664660454,0.9903333333333333,0.04662918399844784
20,0.0407918244600296,0.989,0.03671761642893155,0.991,0.046576333999837516
21,0.038358528167009354,0.989,0.03477516055107117,0.9916666666666667,0.047023017999890726
22,0.03611096367239952,0.989,0.03303476863106092,0.9933333333333333,0.04591714500202215
23,0.03413056954741478,0.991,0.03151288625597954,0.9936666666666667,0.046528177001164295
24,0.032368890941143036,0.993,0.030140401899814605,0.9946666666666667,0.046418977002758766
25,0.030790261924266815,0.993,0.028931202630201977,0.995,0.04657385399696068
26,0.029337327927350998,0.994,0.027845084140698115,0.995,0.04596648799997638
27,0.028016522526741028,0.994,0.026857462733983994,0.9953333333333333,0.04640111600019736
28,0.026799321174621582,0.996,0.0259848883052667,0.9953333333333333,0.04631780399722629
29,0.02569073997437954,0.996,0.025201635579268137,0.9953333333333333,0.3816537270031404
30,0.024675564840435982,0.996,0.024480168223381043,0.9953333333333333,0.0482375960018544
31,0.02376553788781166,0.996,0.023832359085480374,0.9956666666666667,0.04943342999831657
32,0.022905739024281502,0.996,0.023250223129987715,0.9956666666666667,0.04102141600014875
33,0.022101711481809616,0.996,0.022732540647188822,0.9956666666666667,0.03743202500118059
34,0.021398834884166718,0.996,0.0222153083384037,0.996,0.04345003400158021
35,0.020726146176457405,0.997,0.02177901925643285,0.996,0.04384214899982908
36,0.020073460415005684,0.998,0.02138045098880927,0.996,0.04162756399819045
37,0.019485246390104294,0.998,0.0210110341856877,0.996,0.038266044000920374
38,0.018919989466667175,0.998,0.020667482698957126,0.9963333333333333,0.03721950999897672
39,0.018408315256237984,0.998,0.020350077286362647,0.9963333333333333,0.03688668000177131
40,0.017927613109350204,0.998,0.020035890862345695,0.9963333333333333,0.03676935799740022
41,0.0174404364079237,0.998,0.019758524174491563,0.9963333333333333,0.036693196001579054
42,0.01700136996805668,0.998,0.019515688786904017,0.997,0.03679926099721342
43,0.016594931483268738,0.998,0.019264664123455684,0.997,0.037136353999812854
44,0.01620626263320446,0.998,0.019049707517027854,0.997,0.03712410899970564
45,0.015853695571422577,0.998,0.018819488654534023,0.997,0.03628799199941568
46,0.015482255257666111,0.998,0.018619398564100265,0.9966666666666667,0.04557912500240491
47,0.015136418864130974,0.998,0.018420563250780106,0.997,0.055379048997565405
48,0.014803516678512096,0.998,0.018217410216728847,0.997,0.05303488700155867
49,0.01451706513762474,0.999,0.018043856168786683,0.997,0.06099669199829805
50,0.014198618941009045,0.999,0.017872785543402037,0.997,0.06137668500014115
