epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,0.01299241278320551,0.323,0.8181041703224182,0.71,0.2641999619991111
2,0.008574400097131729,0.597,0.6483232466379801,0.8263333333333334,0.048957442999380874
3,0.00550217367708683,0.681,0.5394438471794128,0.8596666666666667,0.0468795240012696
4,0.0031162535306066275,0.732,0.47608723878860476,0.8586666666666667,0.0499739180013421
5,0.001019818359054625,0.747,0.44853027137120566,0.8446666666666667,0.04780775999824982
6,-0.0010941961081698537,0.752,0.449015788435936,0.814,0.05020040299859829
7,-0.0032451844308525324,0.75,0.4724170748392741,0.7826666666666666,0.046965671001089504
8,-0.005396336317062378,0.746,0.5125862343708674,0.7566666666666667,0.0425164299995231
9,-0.007583645172417164,0.742,0.5625516005754471,0.7353333333333333,0.04748508199918433
10,-0.009870627894997597,0.742,0.6145235155423482,0.7193333333333334,0.04925182499937364
11,-0.012010447680950165,0.74,0.6616614505052566,0.7136666666666667,0.04679223299899604
12,-0.014218865893781185,0.74,0.7002272169192632,0.711,0.05911952899987227
13,-0.016410984098911285,0.744,0.7294922242164612,0.713,0.046636380000563804
14,-0.0187248345464468,0.747,0.7503635484576225,0.7173333333333334,0.04559495299690752
15,-0.020876890048384666,0.754,0.7649325092633565,0.7223333333333334,0.04548799699841766
16,-0.02311851643025875,0.757,0.778609667579333,0.7253333333333334,0.04521571200166363
17,-0.025350259616971016,0.762,0.7915408013860384,0.7293333333333333,0.044797799997468246
18,-0.027596523985266685,0.763,0.8104234779675802,0.7316666666666667,0.044588951001060195
19,-0.029909003525972366,0.767,0.834503059943517,0.7326666666666667,0.04425131199968746
20,-0.03203391656279564,0.769,0.8647731144229571,0.7326666666666667,0.04762164099884103
21,-0.03438594937324524,0.773,0.9021060991684596,0.7323333333333333,0.04408137800055556
22,-0.036676812916994095,0.775,0.9460657295187315,0.7323333333333333,0.043575188999966485
23,-0.03915426507592201,0.776,0.9941276421546936,0.7293333333333333,0.05141932600236032
24,-0.04106677323579788,0.776,1.0451860024531683,0.7283333333333334,0.3804229090019362
25,-0.043492719531059265,0.778,1.0967205398678779,0.727,0.04738402099974337
26,-0.04589147865772247,0.781,1.1446631877024969,0.7266666666666667,0.05455738299860968
27,-0.04808666184544563,0.78,1.1900725901722908,0.7276666666666667,0.060148426000523614
28,-0.05031384527683258,0.78,1.2308921659986178,0.7273333333333334,0.05966506199911237
29,-0.052857108414173126,0.783,1.2681633532146612,0.7283333333333334,0.05210083800193388
30,-0.05491458997130394,0.785,1.3028269246617954,0.73,0.04520482700172579
31,-0.05729566514492035,0.786,1.3358675593336424,0.7306666666666667,0.044911967001098674
32,-0.05964285880327225,0.789,1.3655347182949384,0.7316666666666667,0.0483547069998167
33,-0.06231158226728439,0.791,1.3997371825575828,0.7323333333333333,0.05329421599890338
34,-0.0644090473651886,0.792,1.4353979963362218,0.734,0.04525419600031455
35,-0.06652047485113144,0.794,1.474399744729201,0.7346666666666667,0.04461820899814484
36,-0.06859548389911652,0.794,1.5165202077229818,0.7346666666666667,0.045333746002143016
37,-0.07165364176034927,0.796,1.5615688352286816,0.734,0.05303617499885149
38,-0.07367692142724991,0.796,1.6089584711194038,0.7343333333333333,0.04501310299747274
39,-0.07569315284490585,0.798,1.6568629098733265,0.7336666666666667,0.04647546500200406
40,-0.07819893956184387,0.803,1.7053945346077284,0.7333333333333333,0.04537653800070984
41,-0.0807313397526741,0.804,1.753166322817405,0.733,0.045041535999189364
42,-0.08272995054721832,0.804,1.7965261575182279,0.7326666666666667,0.044188905998453265
43,-0.08531078696250916,0.803,1.8403930468857288,0.732,0.04427148600007058
44,-0.08788838982582092,0.804,1.8828661083777745,0.7316666666666667,0.044039479002094595
45,-0.08997150510549545,0.803,1.9240479631026586,0.7306666666666667,0.04401460000008228
46,-0.09202994406223297,0.802,1.9647318569024403,0.73,0.04388918100084993
47,-0.09464210271835327,0.8,2.004355019201835,0.73,0.04407778700260678
48,-0.09729668498039246,0.8,2.0450260777374107,0.7296666666666667,0.054551968998566736
49,-0.09938998520374298,0.8,2.0875512668391067,0.729,0.044606842999201035
50,-0.10147543996572495,0.799,2.1323022013306616,0.7283333333333334,0.04905061999670579
